Indexcd,Idxtrd01,Idxtrd08
906,2016/1/4,-7.4202
906,2016/1/5,-0.2112
906,2016/1/6,1.9935
906,2016/1/7,-7.4168
906,2016/1/8,1.9307
906,2016/1/11,-5.5329
906,2016/1/12,0.5535
906,2016/1/13,-2.3284
906,2016/1/14,2.4584
906,2016/1/15,-3.3614
906,2016/1/18,0.692
906,2016/1/19,3.1549
906,2016/1/20,-1.3463
906,2016/1/21,-3.2744
906,2016/1/22,1.2026
906,2016/1/25,0.6475
906,2016/1/26,-6.45
906,2016/1/27,-0.6356
906,2016/1/28,-3.131
906,2016/1/29,3.3832
906,2016/2/1,-1.4559
906,2016/2/2,2.4754
906,2016/2/3,-0.183
906,2016/2/4,1.4457
906,2016/2/5,-0.7899
906,2016/2/15,-0.3885
906,2016/2/16,3.3794
906,2016/2/17,0.9544
906,2016/2/18,-0.2919
906,2016/2/19,0.0625
906,2016/2/22,2.1669
906,2016/2/23,-0.8269
906,2016/2/24,0.6576
906,2016/2/25,-6.6713
906,2016/2/26,0.8282
906,2016/2/29,-3.2382
906,2016/3/1,1.9793
906,2016/3/2,4.4004
906,2016/3/3,0.2849
906,2016/3/4,0.0463
906,2016/3/7,0.9098
906,2016/3/8,0.1236
906,2016/3/9,-1.5518
906,2016/3/10,-1.8507
906,2016/3/11,0.0558
906,2016/3/14,2.0577
906,2016/3/15,-0.0432
906,2016/3/16,-0.0313
906,2016/3/17,1.7171
906,2016/3/18,2.099
906,2016/3/21,2.4662
906,2016/3/22,-0.6314
906,2016/3/23,0.4337
906,2016/3/24,-1.6666
906,2016/3/25,0.6403
906,2016/3/28,-0.8128
906,2016/3/29,-1.3261
906,2016/3/30,2.8861
906,2016/3/31,0.1268
906,2016/4/1,-0.0644
906,2016/4/5,1.7063
906,2016/4/6,0.021
906,2016/4/7,-1.4847
906,2016/4/8,-0.8028
906,2016/4/11,1.6295
906,2016/4/12,-0.4957
906,2016/4/13,1.3719
906,2016/4/14,0.5803
906,2016/4/15,-0.1589
906,2016/4/18,-1.4193
906,2016/4/19,0.342
906,2016/4/20,-2.584
906,2016/4/21,-0.7038
906,2016/4/22,0.5183
906,2016/4/25,-0.448
906,2016/4/26,0.7171
906,2016/4/27,-0.44
906,2016/4/28,-0.2467
906,2016/4/29,-0.1091
906,2016/5/3,2.1577
906,2016/5/4,-0.0788
906,2016/5/5,0.2596
906,2016/5/6,-2.983
906,2016/5/9,-2.5286
906,2016/5/10,0.0576
906,2016/5/11,0.241
906,2016/5/12,0.1851
906,2016/5/13,-0.4123
906,2016/5/16,0.964
906,2016/5/17,-0.3235
906,2016/5/18,-1.205
906,2016/5/19,0.049
906,2016/5/20,0.6994
906,2016/5/23,0.5906
906,2016/5/24,-0.8744
906,2016/5/25,-0.2407
906,2016/5/26,0.2626
906,2016/5/27,-0.0638
906,2016/5/30,-0.0434
906,2016/5/31,3.5762
906,2016/6/1,-0.0748
906,2016/6/2,0.3413
906,2016/6/3,0.5886
906,2016/6/6,-0.1428
906,2016/6/7,-0.0699
906,2016/6/8,-0.3951
906,2016/6/13,-3.541
906,2016/6/14,0.3054
906,2016/6/15,1.9007
906,2016/6/16,-0.5996
906,2016/6/17,0.5254
906,2016/6/20,0.1595
906,2016/6/21,-0.489
906,2016/6/22,1.0895
906,2016/6/23,-0.5251
906,2016/6/24,-1.2759
906,2016/6/27,1.7024
906,2016/6/28,0.6714
906,2016/6/29,0.3958
906,2016/6/30,0.0723
906,2016/7/1,-0.0531
906,2016/7/4,1.7126
906,2016/7/5,0.2419
906,2016/7/6,0.3398
906,2016/7/7,-0.0393
906,2016/7/8,-0.4786
906,2016/7/11,0.3015
906,2016/7/12,1.9134
906,2016/7/13,0.4508
906,2016/7/14,-0.0862
906,2016/7/15,-0.0795
906,2016/7/18,-0.4395
906,2016/7/19,-0.1984
906,2016/7/20,-0.2936
906,2016/7/21,0.4378
906,2016/7/22,-0.8297
906,2016/7/25,0.2088
906,2016/7/26,1.2408
906,2016/7/27,-2.3457
906,2016/7/28,0.1308
906,2016/7/29,-0.5684
906,2016/8/1,-1.0474
906,2016/8/2,0.5616
906,2016/8/3,0.2441
906,2016/8/4,0.3649
906,2016/8/5,-0.0875
906,2016/8/8,1.0594
906,2016/8/9,0.7361
906,2016/8/10,-0.4031
906,2016/8/11,-0.6569
906,2016/8/12,1.6672
906,2016/8/15,2.7906
906,2016/8/16,-0.1913
906,2016/8/17,-0.0171
906,2016/8/18,-0.1678
906,2016/8/19,0.0537
906,2016/8/22,-0.9537
906,2016/8/23,0.1446
906,2016/8/24,-0.2202
906,2016/8/25,-0.6844
906,2016/8/26,0.0937
906,2016/8/29,0.094
906,2016/8/30,0.0801
906,2016/8/31,0.3724
906,2016/9/1,-0.7974
906,2016/9/2,0.1485
906,2016/9/5,0.2824
906,2016/9/6,0.9603
906,2016/9/7,-0.0314
906,2016/9/8,0.0846
906,2016/9/9,-0.6674
906,2016/9/12,-2.0063
906,2016/9/13,0.0877
906,2016/9/14,-0.6626
906,2016/9/19,0.8437
906,2016/9/20,-0.1323
906,2016/9/21,0.2055
906,2016/9/22,0.7224
906,2016/9/23,-0.3986
906,2016/9/26,-1.7926
906,2016/9/27,0.6635
906,2016/9/28,-0.2392
906,2016/9/29,0.3755
906,2016/9/30,0.3322
906,2016/10/10,1.4428
906,2016/10/11,0.451
906,2016/10/12,-0.1548
906,2016/10/13,0.0653
906,2016/10/14,-0.0051
906,2016/10/17,-0.8536
906,2016/10/18,1.3786
906,2016/10/19,-0.1723
906,2016/10/20,0.0635
906,2016/10/21,0.0833
906,2016/10/24,1.1345
906,2016/10/25,0.1085
906,2016/10/26,-0.4143
906,2016/10/27,-0.2495
906,2016/10/28,-0.4032
906,2016/10/31,-0.0973
906,2016/11/1,0.7376
906,2016/11/2,-0.7792
906,2016/11/3,0.7975
906,2016/11/4,-0.3248
906,2016/11/7,0.0794
906,2016/11/8,0.4625
906,2016/11/9,-0.6045
906,2016/11/10,1.1721
906,2016/11/11,0.7645
906,2016/11/14,0.4089
906,2016/11/15,0.1088
906,2016/11/16,0.0114
906,2016/11/17,0.1057
906,2016/11/18,-0.5429
906,2016/11/21,0.5247
906,2016/11/22,0.7799
906,2016/11/23,-0.0081
906,2016/11/24,0.2453
906,2016/11/25,0.7884
906,2016/11/28,0.3553
906,2016/11/29,0.3516
906,2016/11/30,-0.672
906,2016/12/1,0.7129
906,2016/12/2,-1.1743
906,2016/12/5,-1.3491
906,2016/12/6,-0.1858
906,2016/12/7,0.6444
906,2016/12/8,-0.2522
906,2016/12/9,0.4152
906,2016/12/12,-2.9078
906,2016/12/13,0.0506
906,2016/12/14,-0.722
906,2016/12/15,-0.6106
906,2016/12/16,0.2987
906,2016/12/19,-0.3465
906,2016/12/20,-0.514
906,2016/12/21,0.8469
906,2016/12/22,-0.0876
906,2016/12/23,-0.872
906,2016/12/26,0.374
