Scode,Coname,ActlDt
600400,红豆股份,2012/8/3
600400,红豆股份,2012/10/20
600400,红豆股份,2013/3/15
600400,红豆股份,2013/4/24
600400,红豆股份,2013/8/17
600400,红豆股份,2013/10/15
600400,红豆股份,2014/3/15
600400,红豆股份,2014/4/24
600400,红豆股份,2014/8/15
600400,红豆股份,2014/10/23
600400,红豆股份,2015/3/16
600400,红豆股份,2015/4/13
600400,红豆股份,2015/8/15
600400,红豆股份,2015/10/21
600400,红豆股份,2016/2/23
600400,红豆股份,2016/4/22
600400,红豆股份,2016/8/25
600400,红豆股份,2016/10/28
600400,红豆股份,2017/3/29
600400,红豆股份,2017/4/28
600400,红豆股份,2017/8/22
600400,红豆股份,2017/10/31
600400,红豆股份,2018/3/28
600400,红豆股份,2018/4/12
600400,红豆股份,2018/8/24
600400,红豆股份,2018/10/27
600400,红豆股份,2019/3/30
600400,红豆股份,2019/4/30
600401,退市海润,2004/4/20
600401,退市海润,2004/4/23
600401,退市海润,2004/8/20
600401,退市海润,2004/10/28
600401,退市海润,2005/4/26
600401,退市海润,2005/8/20
600401,退市海润,2005/10/27
600401,退市海润,2006/4/27
600401,退市海润,2006/4/29
600401,退市海润,2006/8/26
600401,退市海润,2006/10/24
600401,退市海润,2007/4/28
600401,退市海润,2007/4/28
600401,退市海润,2007/8/25
600401,退市海润,2007/10/29
600401,退市海润,2008/4/28
600401,退市海润,2008/8/20
600401,退市海润,2008/10/31
600401,退市海润,2009/3/14
600401,退市海润,2009/4/20
600401,退市海润,2009/7/20
600401,退市海润,2009/10/23
600401,退市海润,2010/4/20
600401,退市海润,2010/4/27
600401,退市海润,2010/7/21
600401,退市海润,2010/10/28
600401,退市海润,2011/2/25
600401,退市海润,2011/4/23
600401,退市海润,2011/7/22
600401,退市海润,2011/10/31
600401,退市海润,2012/3/27
600401,退市海润,2012/4/24
600401,退市海润,2012/8/14
600401,退市海润,2012/10/27
600401,退市海润,2013/3/12
600401,退市海润,2013/4/24
600401,退市海润,2013/8/10
600401,退市海润,2013/10/17
600401,退市海润,2014/4/30
600401,退市海润,2014/4/30
600401,退市海润,2014/8/30
600401,退市海润,2014/10/31
600401,退市海润,2015/4/23
600401,退市海润,2015/4/30
600401,退市海润,2015/8/29
600401,退市海润,2015/10/31
600401,退市海润,2016/4/23
600401,退市海润,2016/4/30
600401,退市海润,2016/8/20
600401,退市海润,2016/10/29
600401,退市海润,2017/4/29
600401,退市海润,2017/4/29
600401,退市海润,2017/8/31
600401,退市海润,2017/10/31
600401,退市海润,2018/4/28
600401,退市海润,2018/4/28
600401,退市海润,2018/8/31
600401,退市海润,2018/10/31
600401,退市海润,2019/4/30
600401,退市海润,2019/4/30
600403,大有能源,2003/10/24
600403,大有能源,2004/2/18
600403,大有能源,2004/4/22
600403,大有能源,2004/7/22
600403,大有能源,2004/10/22
600403,大有能源,2005/3/30
600403,大有能源,2005/4/20
600403,大有能源,2005/8/5
600403,大有能源,2005/10/28
