"","permno","pilu","date","cumret"
"1",1,1,2016-03-10,1.02527911209329
"2",1,2,2016-04-21,1.00221406701771
"3",1,3,2016-08-12,1.03609005881295
"4",1,4,2016-10-21,0.99659405604876
"5",1,5,2017-03-17,0.992535935320064
"6",1,7,2017-08-11,0.919727286236796
"7",1,9,2018-03-15,0.971784463349343
"8",1,10,2018-04-20,1.00534835712705
"9",1,11,2018-08-16,0.97074223089579
"10",1,12,2018-10-24,1.04596626266398
"11",2,3,2016-08-22,1.06457154982752
"12",2,4,2016-10-28,0.944579233249571
"13",2,5,2017-03-27,0.984214781178194
"14",2,6,2017-04-28,0.954793100399586
"15",2,7,2017-08-25,1.04786106546638
"16",2,8,2017-10-27,1.05566282255249
"17",2,9,2018-03-27,1.00194685538651
"18",2,10,2018-04-26,0.940209510926383
"19",2,11,2018-08-21,1.04840581870727
"20",2,12,2018-10-26,1.11393295021492
"21",6,1,2016-03-30,0.99000959021393
"22",6,3,2016-08-19,1.048897936273
"23",6,4,2016-10-31,0.964505999447344
"24",6,5,2017-03-30,0.967775318872938
"25",6,6,2017-04-27,0.967890246815951
"26",6,7,2017-08-18,0.995552435309681
"27",6,9,2018-03-30,0.959245371986257
"28",6,10,2018-04-27,0.982984272623834
"29",6,11,2018-08-17,0.990508876561148
"30",8,1,2016-04-27,1.01399802191902
"31",8,3,2016-08-25,0.971962469156306
"32",8,4,2016-10-26,1.09202260862431
"33",8,6,2017-04-27,0.95439606595979
"34",8,7,2017-08-30,0.969284087483144
"35",8,8,2017-10-31,1.03494929038011
"36",10,1,2016-04-21,1.03665527497
"37",10,2,2016-04-29,0.987804117323
"38",10,3,2016-08-24,1.03630434800037
"39",10,4,2016-10-25,0.929561912352486
"40",10,6,2017-04-28,0.958090837052702
"41",10,7,2017-08-29,1.00596231848137
"42",10,9,2018-04-20,0.962514
"43",10,10,2018-04-27,1.018809
"44",10,11,2018-08-31,0.985559051536036
"45",10,12,2018-10-30,1.03484295909576
"46",10,19,2018-04-27,0.943826491945713
"47",11,1,2016-03-31,0.954793616641935
"48",11,5,2017-03-31,1.01538307790452
"49",11,7,2017-08-31,1.03556650798554
"50",11,8,2017-10-31,0.997935548022026
"51",11,9,2018-03-30,1.00903913295734
"52",11,10,2018-04-27,0.979565590668947
"53",11,11,2018-08-22,1.00279554952777
"54",11,12,2018-10-31,0.989231088193631
"55",14,1,2016-03-31,0.974046380728238
"56",14,5,2017-03-30,0.944762676691617
"57",14,6,2017-04-26,0.958532344290967
"58",14,7,2017-08-31,0.991301276684966
"59",14,8,2017-10-31,1.00243632112792
"60",14,9,2018-03-29,1.13388584522573
"61",14,10,2018-04-27,0.978665826791833
"62",14,11,2018-08-29,0.942036692934881
"63",16,2,2016-04-29,0.983869404011482
"64",16,3,2016-08-30,0.998087394506331
"65",16,5,2017-03-31,0.989957120193505
"66",16,7,2017-08-25,1.09216171898086
"67",16,11,2018-08-31,1.00486010719075
"68",16,12,2018-10-31,1.04714968239112
"69",17,1,2016-04-19,1.045098881476
