Indexcd,Idxtrd01,Idxtrd08
906,2011/1/4,1.842
906,2011/1/5,-0.2281
906,2011/1/6,-0.5159
906,2011/1/7,0.0192
906,2011/1/10,-2.1315
906,2011/1/11,0.2518
906,2011/1/12,0.5682
906,2011/1/13,-0.0623
906,2011/1/14,-1.7237
906,2011/1/17,-3.935
906,2011/1/18,0.1811
906,2011/1/19,2.2958
906,2011/1/20,-3.3793
906,2011/1/21,1.1397
906,2011/1/24,-1.3499
906,2011/1/25,-0.7242
906,2011/1/26,1.4973
906,2011/1/27,1.6512
906,2011/1/28,0.5125
906,2011/1/31,1.3274
906,2011/2/1,0.1299
906,2011/2/9,-0.9899
906,2011/2/10,2.2408
906,2011/2/11,0.6926
906,2011/2/14,2.787
906,2011/2/15,-0.0491
906,2011/2/16,1.1545
906,2011/2/17,0.1262
906,2011/2/18,-1.0153
906,2011/2/21,1.5981
906,2011/2/22,-2.8279
906,2011/2/23,0.6355
906,2011/2/24,0.6357
906,2011/2/25,0.1803
906,2011/2/28,1.2922
906,2011/3/1,0.4898
906,2011/3/2,-0.3321
906,2011/3/3,-1.0125
906,2011/3/4,1.4257
906,2011/3/7,1.8032
906,2011/3/8,0.207
906,2011/3/9,0.1114
906,2011/3/10,-1.4822
906,2011/3/11,-0.7518
906,2011/3/14,0.6138
906,2011/3/15,-1.6233
906,2011/3/16,1.3657
906,2011/3/17,-1.6437
906,2011/3/18,0.5447
906,2011/3/21,-0.4107
906,2011/3/22,0.3587
906,2011/3/23,1.3194
906,2011/3/24,-0.2301
906,2011/3/25,1.1923
906,2011/3/28,-0.1529
906,2011/3/29,-1.1823
906,2011/3/30,-0.2879
906,2011/3/31,-1.0764
906,2011/4/1,1.4698
906,2011/4/6,0.8215
906,2011/4/7,0.4633
906,2011/4/8,0.9468
906,2011/4/11,-0.6511
906,2011/4/12,-0.1091
906,2011/4/13,1.263
906,2011/4/14,-0.4763
906,2011/4/15,0.1774
906,2011/4/18,0.0953
906,2011/4/19,-1.7127
906,2011/4/20,0.1883
906,2011/4/21,0.6657
906,2011/4/22,-0.5032
906,2011/4/25,-1.6904
906,2011/4/26,-0.8652
906,2011/4/27,-0.7924
906,2011/4/28,-1.9444
906,2011/4/29,1.1704
906,2011/5/3,0.8793
906,2011/5/4,-2.4493
906,2011/5/5,0.0003
906,2011/5/6,0.0146
906,2011/5/9,0.4165
906,2011/5/10,0.7064
906,2011/5/11,-0.1298
906,2011/5/12,-1.3693
906,2011/5/13,0.8388
906,2011/5/16,-0.6558
906,2011/5/17,0.2182
906,2011/5/18,0.7259
906,2011/5/19,-0.5805
906,2011/5/20,-0.0697
906,2011/5/23,-3.3244
906,2011/5/24,0.0362
906,2011/5/25,-1.174
906,2011/5/26,-0.5576
906,2011/5/27,-1.2072
906,2011/5/30,-0.7116
906,2011/5/31,1.7698
906,2011/6/1,0.3355
906,2011/6/2,-1.5464
906,2011/6/3,1.2146
906,2011/6/7,0.6816
906,2011/6/8,0.1984
906,2011/6/9,-2.0027
906,2011/6/10,0.3235
906,2011/6/13,-0.2905
906,2011/6/14,1.5042
906,2011/6/15,-0.9884
906,2011/6/16,-1.7027
906,2011/6/17,-1.0285
906,2011/6/20,-0.7931
906,2011/6/21,1.242
906,2011/6/22,-0.1154
906,2011/6/23,1.7391
906,2011/6/24,2.3747
906,2011/6/27,0.5597
906,2011/6/28,0.1636
906,2011/6/29,-1.3688
906,2011/6/30,1.474
906,2011/7/1,0.2808
906,2011/7/4,2.3998
906,2011/7/5,0.1769
906,2011/7/6,-0.1454
906,2011/7/7,-0.2828
906,2011/7/8,0.1523
906,2011/7/11,0.3303
906,2011/7/12,-1.7074
906,2011/7/13,1.7137
906,2011/7/14,0.4479
906,2011/7/15,0.4726
906,2011/7/18,-0.1519
906,2011/7/19,-0.9258
906,2011/7/20,-0.0553
906,2011/7/21,-1.1245
906,2011/7/22,0.3043
906,2011/7/25,-3.422
906,2011/7/26,0.3473
906,2011/7/27,0.9899
906,2011/7/28,-0.6326
906,2011/7/29,-0.5185
906,2011/8/1,0.2319
906,2011/8/2,-0.7187
906,2011/8/3,0.045
906,2011/8/4,0.2743
906,2011/8/5,-2.0765
906,2011/8/8,-3.9552
906,2011/8/9,0.0301
906,2011/8/10,1.058
906,2011/8/11,1.5719
906,2011/8/12,0.5222
906,2011/8/15,1.474
906,2011/8/16,-0.7341
906,2011/8/17,-0.4095
906,2011/8/18,-1.7726
906,2011/8/19,-0.9349
906,2011/8/22,-0.969
906,2011/8/23,1.5745
906,2011/8/24,-0.3276
906,2011/8/25,3.0034
906,2011/8/26,-0.0063
906,2011/8/29,-1.4616
906,2011/8/30,-0.5128
906,2011/8/31,0.0035
906,2011/9/1,-0.5282
906,2011/9/2,-1.0975
906,2011/9/5,-2.2253
906,2011/9/6,-0.757
906,2011/9/7,2.1443
906,2011/9/8,-0.892
906,2011/9/9,-0.297
906,2011/9/13,-1.2567
906,2011/9/14,0.6485
906,2011/9/15,-0.0883
906,2011/9/16,0.1289
906,2011/9/19,-1.9923
906,2011/9/20,0.418
906,2011/9/21,3.0046
906,2011/9/22,-3.0278
906,2011/9/23,-0.6609
906,2011/9/26,-2.0402
906,2011/9/27,0.8694
906,2011/9/28,-1.2046
906,2011/9/29,-1.4757
906,2011/9/30,-0.2909
906,2011/10/10,-0.8602
906,2011/10/11,-0.246
906,2011/10/12,3.5943
906,2011/10/13,0.834
906,2011/10/14,-0.3532
906,2011/10/17,0.4457
906,2011/10/18,-2.8545
906,2011/10/19,-0.4134
906,2011/10/20,-2.5568
906,2011/10/21,-0.8436
906,2011/10/24,2.4974
906,2011/10/25,2.1309
906,2011/10/26,1.0189
906,2011/10/27,0.1942
906,2011/10/28,2.0328
906,2011/10/31,-0.2467
906,2011/11/1,0.0644
906,2011/11/2,1.7042
906,2011/11/3,0.2077
906,2011/11/4,0.7367
906,2011/11/7,-0.841
906,2011/11/8,-0.5905
906,2011/11/9,1.0849
906,2011/11/10,-1.7894
906,2011/11/11,-0.14
906,2011/11/14,2.1385
906,2011/11/15,0.0575
906,2011/11/16,-2.6571
906,2011/11/17,-0.2799
906,2011/11/18,-2.286
906,2011/11/21,0.113
906,2011/11/22,-0.0633
906,2011/11/23,-0.8223
906,2011/11/24,0.0912
906,2011/11/25,-0.6993
906,2011/11/28,0.1224
906,2011/11/29,1.4474
906,2011/11/30,-3.5194
906,2011/12/1,2.3471
906,2011/12/2,-1.2854
906,2011/12/5,-1.883
906,2011/12/6,-0.1525
906,2011/12/7,0.4236
906,2011/12/8,-0.1092
906,2011/12/9,-0.8852
906,2011/12/12,-1.0985
906,2011/12/13,-2.5597
906,2011/12/14,-1.2363
906,2011/12/15,-2.4584
906,2011/12/16,2.3119
906,2011/12/19,-0.1243
906,2011/12/20,-0.3063
906,2011/12/21,-1.7967
906,2011/12/22,-0.253
906,2011/12/23,0.7878
906,2011/12/26,-0.8927
906,2011/12/27,-1.6146
906,2011/12/28,-0.0321
906,2011/12/29,0.111
906,2011/12/30,1.5773
906,2012/1/4,-2.0711
906,2012/1/5,-1.6338
906,2012/1/6,0.5779
906,2012/1/9,3.56
906,2012/1/10,3.5161
906,2012/1/11,-0.3546
906,2012/1/12,-0.0189
906,2012/1/13,-2.0819
906,2012/1/16,-2.3085
906,2012/1/17,5.0582
906,2012/1/18,-1.6721
906,2012/1/19,1.6958
906,2012/1/20,1.4299
906,2012/1/30,-1.4897
906,2012/1/31,0.1247
906,2012/2/1,-1.2958
906,2012/2/2,2.2476
906,2012/2/3,0.9999
906,2012/2/6,0.1527
906,2012/2/7,-1.798
906,2012/2/8,2.8072
906,2012/2/9,0.1992
906,2012/2/10,0.2594
906,2012/2/13,0.17
906,2012/2/14,-0.262
906,2012/2/15,1.1947
906,2012/2/16,-0.4069
906,2012/2/17,-0.052
906,2012/2/20,0.1708
906,2012/2/21,0.9469
906,2012/2/22,1.5115
906,2012/2/23,0.3339
906,2012/2/24,1.58
906,2012/2/27,0.2923
906,2012/2/28,0.0443
906,2012/2/29,-1.1268
906,2012/3/1,0.1066
906,2012/3/2,1.8549
906,2012/3/5,-0.4588
906,2012/3/6,-1.4233
906,2012/3/7,-0.7017
906,2012/3/8,1.3403
906,2012/3/9,1.182
906,2012/3/12,-0.1291
906,2012/3/13,1.0052
906,2012/3/14,-3.2518
906,2012/3/15,-0.8659
906,2012/3/16,1.7603
906,2012/3/19,0.4703
906,2012/3/20,-1.8449
906,2012/3/21,0.1894
906,2012/3/22,-0.2353
906,2012/3/23,-1.3771
906,2012/3/26,0.0474
906,2012/3/27,-0.3349
906,2012/3/28,-3.2395
906,2012/3/29,-1.4211
906,2012/3/30,0.3012
906,2012/4/5,2.6021
906,2012/4/6,0.3662
906,2012/4/9,-1.0231
906,2012/4/10,1.0325
906,2012/4/11,0.0933
906,2012/4/12,2.0179
906,2012/4/13,0.5279
906,2012/4/16,-0.1167
906,2012/4/17,-1.3025
906,2012/4/18,2.2798
906,2012/4/19,-0.1736
906,2012/4/20,1.1037
906,2012/4/23,-0.8924
906,2012/4/24,-0.2019
906,2012/4/25,0.9633
906,2012/4/26,0.0328
906,2012/4/27,-0.3872
906,2012/5/2,2.0077
906,2012/5/3,0.3281
906,2012/5/4,0.8427
906,2012/5/7,0.224
906,2012/5/8,-0.2482
906,2012/5/9,-1.8657
906,2012/5/10,0.0811
906,2012/5/11,-0.6802
906,2012/5/14,-0.6469
906,2012/5/15,0.025
906,2012/5/16,-1.5332
906,2012/5/17,1.5128
906,2012/5/18,-1.5392
906,2012/5/21,0.3722
906,2012/5/22,1.5615
906,2012/5/23,-0.32
906,2012/5/24,-0.8271
906,2012/5/25,-0.9286
906,2012/5/28,1.57
906,2012/5/29,1.4312
906,2012/5/30,-0.2016
906,2012/5/31,-0.2821
906,2012/6/1,-0.0331
906,2012/6/4,-2.9245
906,2012/6/5,-0.0339
906,2012/6/6,-0.1611
906,2012/6/7,-0.5787
906,2012/6/8,-0.6464
906,2012/6/11,1.4701
906,2012/6/12,-0.6816
906,2012/6/13,1.6544
906,2012/6/14,-0.7388
906,2012/6/15,0.1991
906,2012/6/18,0.6277
906,2012/6/19,-0.8384
906,2012/6/20,-0.3249
906,2012/6/21,-1.4998
906,2012/6/25,-2.3414
906,2012/6/26,-0.0713
906,2012/6/27,-0.3329
906,2012/6/28,-1.0058
906,2012/6/29,1.425
906,2012/7/2,0.3817
906,2012/7/3,0.1505
906,2012/7/4,-0.242
906,2012/7/5,-1.615
906,2012/7/6,1.8016
906,2012/7/9,-2.3438
906,2012/7/10,-0.5292
906,2012/7/11,0.8705
906,2012/7/12,1.0664
906,2012/7/13,-0.0624
906,2012/7/16,-2.4484
906,2012/7/17,0.6264
906,2012/7/18,0.1375
906,2012/7/19,0.5998
906,2012/7/20,-0.971
906,2012/7/23,-1.2736
906,2012/7/24,0.5072
906,2012/7/25,-0.7167
906,2012/7/26,-0.6212
906,2012/7/27,-0.0856
906,2012/7/30,-0.9167
906,2012/7/31,-0.5263
906,2012/8/1,1.2683
906,2012/8/2,-0.9186
906,2012/8/3,1.0917
906,2012/8/6,1.5991
906,2012/8/7,0.3282
906,2012/8/8,-0.0558
906,2012/8/9,1.0453
906,2012/8/10,-0.4407
906,2012/8/13,-2.0651
906,2012/8/14,0.3945
906,2012/8/15,-1.097
906,2012/8/16,-0.5644
906,2012/8/17,-0.2022
906,2012/8/20,-0.3618
906,2012/8/21,0.7365
906,2012/8/22,-0.8091
906,2012/8/23,0.3804
906,2012/8/24,-1.3301
906,2012/8/27,-2.1865
906,2012/8/28,0.4741
906,2012/8/29,-0.9598
906,2012/8/30,-0.5051
906,2012/8/31,-0.1444
906,2012/9/3,1.2793
906,2012/9/4,-1.0835
906,2012/9/5,-0.0227
906,2012/9/6,0.8951
906,2012/9/7,4.2681
906,2012/9/10,0.5227
906,2012/9/11,-0.5773
906,2012/9/12,0.4589
906,2012/9/13,-1.0449
906,2012/9/14,0.6239
906,2012/9/17,-2.5909
906,2012/9/18,-0.8854
906,2012/9/19,0.6128
906,2012/9/20,-2.4004
906,2012/9/21,-0.0343
906,2012/9/24,0.7477
906,2012/9/25,-0.3591
906,2012/9/26,-1.427
906,2012/9/27,2.8622
906,2012/9/28,1.8453
906,2012/10/8,-0.8863
906,2012/10/9,2.2983
906,2012/10/10,0.362
906,2012/10/11,-1.0639
906,2012/10/12,0.0084
906,2012/10/15,-0.4468
906,2012/10/16,0.1846
906,2012/10/17,0.1436
906,2012/10/18,1.5659
906,2012/10/19,-0.1861
906,2012/10/22,0.3925
906,2012/10/23,-1.2446
906,2012/10/24,-0.1493
906,2012/10/25,-0.7794
906,2012/10/26,-1.9053
906,2012/10/29,-0.4394
906,2012/10/30,0.1498
906,2012/10/31,0.5617
906,2012/11/1,1.9067
906,2012/11/2,0.4535
906,2012/11/5,-0.2668
906,2012/11/6,-0.4839
906,2012/11/7,-0.1865
906,2012/11/8,-1.9953
906,2012/11/9,-0.2484
906,2012/11/12,0.5194
906,2012/11/13,-1.8215
906,2012/11/14,0.4378
906,2012/11/15,-1.4319
906,2012/11/16,-0.708
906,2012/11/19,-0.023
906,2012/11/20,-0.4483
906,2012/11/21,1.3021
906,2012/11/22,-0.9183
906,2012/11/23,0.6116
906,2012/11/26,-0.8716
906,2012/11/27,-1.7231
906,2012/11/28,-1.2833
906,2012/11/29,-0.7043
906,2012/11/30,1.2248
906,2012/12/3,-1.6606
906,2012/12/4,1.1126
906,2012/12/5,3.6093
906,2012/12/6,-0.1638
906,2012/12/7,2.0329
906,2012/12/10,1.2384
906,2012/12/11,-0.5803
906,2012/12/12,0.322
906,2012/12/13,-1.1588
906,2012/12/14,4.8482
906,2012/12/17,0.546
906,2012/12/18,0.007
906,2012/12/19,0.1901
906,2012/12/20,0.5178
906,2012/12/21,-0.4716
906,2012/12/24,0.4224
906,2012/12/25,2.699
906,2012/12/26,0.5747
906,2012/12/27,-0.6163
906,2012/12/28,1.3736
906,2012/12/31,1.6215
906,2013/1/4,-0.0768
906,2013/1/7,0.5634
906,2013/1/8,-0.0596
906,2013/1/9,0.0789
906,2013/1/10,0.2823
906,2013/1/11,-2.0239
906,2013/1/14,3.7291
906,2013/1/15,0.9872
906,2013/1/16,-0.5573
906,2013/1/17,-1.011
906,2013/1/18,1.6695
906,2013/1/21,0.6345
906,2013/1/22,-0.7811
906,2013/1/23,0.3555
906,2013/1/24,-1.2096
906,2013/1/25,-0.3699
906,2013/1/28,2.9886
906,2013/1/29,0.915
906,2013/1/30,0.4888
906,2013/1/31,-0.1882
906,2013/2/1,1.8087
906,2013/2/4,-0.0154
906,2013/2/5,0.9006
906,2013/2/6,0.2668
906,2013/2/7,-0.3636
906,2013/2/8,0.6546
906,2013/2/18,-0.8356
906,2013/2/19,-1.88
906,2013/2/20,0.9658
906,2013/2/21,-3.0955
906,2013/2/22,-0.4877
906,2013/2/25,0.506
906,2013/2/26,-1.4536
906,2013/2/27,0.8235
906,2013/2/28,2.7999
906,2013/3/1,0.1306
906,2013/3/4,-4.3643
906,2013/3/5,2.8439
906,2013/3/6,1.1653
906,2013/3/7,-1.1718
906,2013/3/8,-0.6232
906,2013/3/11,-0.422
906,2013/3/12,-1.6782
906,2013/3/13,-1.0569
906,2013/3/14,0.311
906,2013/3/15,0.2122
906,2013/3/18,-1.4244
906,2013/3/19,0.7658
906,2013/3/20,3.191
906,2013/3/21,0.3876
906,2013/3/22,0.1953
906,2013/3/25,-0.2271
906,2013/3/26,-1.2765
906,2013/3/27,0.3078
906,2013/3/28,-3.1769
906,2013/3/29,-0.1404
906,2013/4/1,0.1049
906,2013/4/2,-0.4994
906,2013/4/3,-0.3033
906,2013/4/8,-0.25
906,2013/4/9,0.7596
906,2013/4/10,-0.1752
906,2013/4/11,-0.3251
906,2013/4/12,-0.6841
906,2013/4/15,-1.1166
906,2013/4/16,0.9695
906,2013/4/17,0.1702
906,2013/4/18,0.2716
906,2013/4/19,2.6345
906,2013/4/22,0.016
906,2013/4/23,-3.09
906,2013/4/24,1.909
906,2013/4/25,-1.2095
906,2013/4/26,-1.0762
906,2013/5/2,0.1823
906,2013/5/3,1.8048
906,2013/5/6,1.4644
906,2013/5/7,0.1668
906,2013/5/8,0.6061
906,2013/5/9,-0.4363
906,2013/5/10,0.5376
906,2013/5/13,-0.2111
906,2013/5/14,-1.4007
906,2013/5/15,0.7389
906,2013/5/16,1.6433
906,2013/5/17,1.5385
906,2013/5/20,0.8173
906,2013/5/21,0.4728
906,2013/5/22,-0.11
906,2013/5/23,-1.2219
906,2013/5/24,0.8003
906,2013/5/27,0.3182
906,2013/5/28,1.3429
906,2013/5/29,0.1314
