permno,ym,recom,recom_lag,lag_time
22.0,Apr 2006,0,16.0,1
516.0,Apr 2006,-2,12.0,1
19.0,Apr 2006,-2,8.0,1
524.0,Apr 2006,0,7.0,1
413.0,Apr 2006,-2,6.0,1
507.0,Apr 2006,0,6.0,1
410.0,Apr 2006,0,6.0,1
1.0,Apr 2006,-1,5.0,1
2.0,Apr 2006,-2,2.0,1
23.0,Apr 2006,1,1.0,1
423.0,Apr 2006,0,1.0,1
429.0,Apr 2006,1,1.0,1
69.0,Apr 2006,0,1.0,1
407.0,Apr 2006,1,1.0,1
600449.0,Apr 2006,0,0.0,1
600459.0,Apr 2006,0,0.0,1
600458.0,Apr 2006,0,0.0,1
600456.0,Apr 2006,0,0.0,1
600455.0,Apr 2006,0,0.0,1
600452.0,Apr 2006,0,0.0,1
547.0,Apr 2007,0,10.0,1
50.0,Apr 2007,0,6.0,1
1.0,Apr 2007,0,5.0,1
58.0,Apr 2007,0,3.0,1
516.0,Apr 2007,0,2.0,1
598.0,Apr 2007,0,1.0,1
503.0,Apr 2007,5,1.0,1
426.0,Apr 2007,0,1.0,1
425.0,Apr 2007,0,1.0,1
523.0,Apr 2007,0,1.0,1
524.0,Apr 2007,1,1.0,1
525.0,Apr 2007,0,1.0,1
554.0,Apr 2007,0,1.0,1
585.0,Apr 2007,0,1.0,1
557.0,Apr 2007,0,1.0,1
600379.0,Apr 2007,0,0.0,1
600446.0,Apr 2007,0,0.0,1
600372.0,Apr 2007,0,0.0,1
600458.0,Apr 2007,0,0.0,1
600456.0,Apr 2007,0,0.0,1
50.0,Apr 2008,39,37.0,1
2.0,Apr 2008,17,35.0,1
1.0,Apr 2008,31,34.0,1
607.0,Apr 2008,17,32.0,1
584.0,Apr 2008,18,30.0,1
551.0,Apr 2008,23,26.0,1
600.0,Apr 2008,14,25.0,1
502.0,Apr 2008,16,23.0,1
655.0,Apr 2008,7,16.0,1
571.0,Apr 2008,6,16.0,1
637.0,Apr 2008,6,13.0,1
488.0,Apr 2008,1,12.0,1
665.0,Apr 2008,14,12.0,1
572.0,Apr 2008,4,11.0,1
503.0,Apr 2008,18,11.0,1
546.0,Apr 2008,1,11.0,1
532.0,Apr 2008,2,11.0,1
616.0,Apr 2008,5,11.0,1
16.0,Apr 2008,18,10.0,1
531.0,Apr 2008,0,10.0,1
19.0,Apr 2009,32,30.0,1
1.0,Apr 2009,28,23.0,1
516.0,Apr 2009,8,22.0,1
90.0,Apr 2009,1,20.0,1
630.0,Apr 2009,1,20.0,1
503.0,Apr 2009,1,19.0,1
50.0,Apr 2009,6,19.0,1
