permno,ym,recom,recom_lag,lag_time
511.0,Apr 2006,1.0,13.0,2
516.0,Apr 2006,10.0,13.0,2
19.0,Apr 2006,6.0,9.0,2
22.0,Apr 2006,16.0,9.0,2
426.0,Apr 2006,0.0,9.0,2
507.0,Apr 2006,6.0,7.0,2
406.0,Apr 2006,0.0,7.0,2
524.0,Apr 2006,7.0,7.0,2
423.0,Apr 2006,1.0,7.0,2
413.0,Apr 2006,4.0,6.0,2
510.0,Apr 2006,0.0,6.0,2
410.0,Apr 2006,6.0,6.0,2
10.0,Apr 2006,0.0,6.0,2
62.0,Apr 2006,-7.0,5.0,2
1.0,Apr 2006,4.0,5.0,2
502.0,Apr 2006,0.0,5.0,2
2.0,Apr 2006,0.0,4.0,2
17.0,Apr 2006,5.0,3.0,2
429.0,Apr 2006,2.0,3.0,2
407.0,Apr 2006,2.0,2.0,2
50.0,Apr 2007,6.0,12.0,2
547.0,Apr 2007,10.0,10.0,2
58.0,Apr 2007,3.0,9.0,2
68.0,Apr 2007,0.0,5.0,2
509.0,Apr 2007,0.0,5.0,2
1.0,Apr 2007,5.0,5.0,2
516.0,Apr 2007,2.0,4.0,2
502.0,Apr 2007,0.0,1.0,2
598.0,Apr 2007,1.0,1.0,2
589.0,Apr 2007,0.0,1.0,2
155.0,Apr 2007,0.0,1.0,2
420.0,Apr 2007,0.0,1.0,2
425.0,Apr 2007,1.0,1.0,2
426.0,Apr 2007,1.0,1.0,2
429.0,Apr 2007,0.0,1.0,2
557.0,Apr 2007,1.0,1.0,2
554.0,Apr 2007,1.0,1.0,2
585.0,Apr 2007,1.0,1.0,2
515.0,Apr 2007,0.0,1.0,2
34.0,Apr 2007,0.0,1.0,2
502.0,Apr 2008,39.0,43.0,2
50.0,Apr 2008,76.0,38.0,2
1.0,Apr 2008,65.0,35.0,2
2.0,Apr 2008,52.0,35.0,2
607.0,Apr 2008,49.0,32.0,2
551.0,Apr 2008,49.0,31.0,2
584.0,Apr 2008,48.0,30.0,2
600.0,Apr 2008,39.0,30.0,2
571.0,Apr 2008,22.0,22.0,2
523.0,Apr 2008,15.0,22.0,2
637.0,Apr 2008,19.0,19.0,2
546.0,Apr 2008,12.0,18.0,2
616.0,Apr 2008,16.0,18.0,2
554.0,Apr 2008,11.0,17.0,2
655.0,Apr 2008,23.0,16.0,2
19.0,Apr 2008,17.0,16.0,2
511.0,Apr 2008,6.0,15.0,2
534.0,Apr 2008,11.0,14.0,2
532.0,Apr 2008,13.0,12.0,2
488.0,Apr 2008,13.0,12.0,2
19.0,Apr 2009,62.0,42.0,2
2.0,Apr 2009,30.0,32.0,2
58.0,Apr 2009,36.0,31.0,2
1.0,Apr 2009,51.0,29.0,2
510.0,Apr 2009,29.0,29.0,2
90.0,Apr 2009,21.0,27.0,2
630.0,Apr 2009,21.0,27.0,2
584.0,Apr 2009,27.0,27.0,2
503.0,Apr 2009,20.0,26.0,2
516.0,Apr 2009,30.0,24.0,2
720.0,Apr 2009,19.0,24.0,2
601.0,Apr 2009,4.0,23.0,2
607.0,Apr 2009,16.0,22.0,2
50.0,Apr 2009,25.0,22.0,2
511.0,Apr 2009,17.0,22.0,2
657.0,Apr 2009,15.0,21.0,2
722.0,Apr 2009,17.0,21.0,2
559.0,Apr 2009,27.0,20.0,2
551.0,Apr 2009,20.0,19.0,2
502.0,Apr 2009,25.0,18.0,2
2310.0,Apr 2010,114.0,91.0,2
2324.0,Apr 2010,110.0,70.0,2
1.0,Apr 2010,113.0,65.0,2
2297.0,Apr 2010,91.0,56.0,2
89.0,Apr 2010,61.0,54.0,2
10.0,Apr 2010,71.0,50.0,2
729.0,Apr 2010,26.0,50.0,2
2.0,Apr 2010,78.0,49.0,2
62.0,Apr 2010,30.0,45.0,2
2322.0,Apr 2010,57.0,43.0,2
626.0,Apr 2010,28.0,42.0,2
584.0,Apr 2010,52.0,40.0,2
2317.0,Apr 2010,12.0,40.0,2
739.0,Apr 2010,53.0,39.0,2
2332.0,Apr 2010,41.0,37.0,2
46.0,Apr 2010,50.0,36.0,2
510.0,Apr 2010,62.0,35.0,2
782.0,Apr 2010,95.0,34.0,2
2350.0,Apr 2010,35.0,34.0,2
2328.0,Apr 2010,165.0,34.0,2
2311.0,Apr 2011,117.0,118.0,2
720.0,Apr 2011,86.0,95.0,2
510.0,Apr 2011,74.0,82.0,2
2297.0,Apr 2011,125.0,70.0,2
755.0,Apr 2011,70.0,68.0,2
2435.0,Apr 2011,51.0,66.0,2
2333.0,Apr 2011,113.0,62.0,2
729.0,Apr 2011,61.0,60.0,2
878.0,Apr 2011,58.0,60.0,2
1.0,Apr 2011,87.0,59.0,2
2348.0,Apr 2011,32.0,55.0,2
2383.0,Apr 2011,113.0,53.0,2
2520.0,Apr 2011,48.0,48.0,2
2310.0,Apr 2011,85.0,48.0,2
502.0,Apr 2011,77.0,47.0,2
2314.0,Apr 2011,56.0,44.0,2
791.0,Apr 2011,55.0,44.0,2
2323.0,Apr 2011,76.0,43.0,2
50.0,Apr 2011,60.0,43.0,2
2417.0,Apr 2011,54.0,42.0,2
2532.0,Apr 2012,181.0,132.0,2
2435.0,Apr 2012,85.0,95.0,2
2311.0,Apr 2012,105.0,94.0,2
